democratic_house_seats,democratic_aligned_senate_seats,simulation_count,probability,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile
229,37,1,0.0001,99.065,99.985
205,38,1,0.0001,99.915,99.745
214,38,1,0.0001,99.725,99.915
201,39,1,0.0001,99.895,99.215
203,39,1,0.0001,99.875,99.385
207,39,1,0.0001,99.785,99.605
180,40,1,0.0001,99.995,79.605
189,40,1,0.0001,99.945,92.665
194,40,1,0.0001,99.905,95.945
200,40,1,0.0001,99.805,98.045
203,40,1,0.0001,99.655,98.725
206,40,1,0.0001,99.465,99.095
207,40,1,0.0001,99.405,99.205
209,40,2,0.0002,99.28,99.37
213,40,1,0.0001,98.835,99.595
226,40,1,0.0001,95.495,99.905
175,41,1,0.0001,99.985,51.765
179,41,1,0.0001,99.975,63.165
190,41,1,0.0001,99.885,86.785
191,41,1,0.0001,99.865,88.385
192,41,1,0.0001,99.845,89.655
195,41,2,0.0002,99.77,92.65
196,41,1,0.0001,99.715,93.475
197,41,2,0.0002,99.64,94.22
199,41,1,0.0001,99.535,95.365
200,41,3,0.0003,99.445,95.925
201,41,1,0.0001,99.395,96.365
203,41,2,0.0002,99.26,97.13
205,41,2,0.0002,99.05,97.79
206,41,1,0.0001,98.955,98.035
215,41,1,0.0001,97.285,99.355
216,41,2,0.0002,96.93,99.49
217,41,1,0.0001,96.595,99.545
219,41,1,0.0001,95.865,99.585
222,41,1,0.0001,94.795,99.725
224,41,1,0.0001,93.905,99.815
237,41,1,0.0001,85.505,99.955
258,41,1,0.0001,63.065,99.995
176,42,1,0.0001,99.965,36.295
180,42,1,0.0001,99.935,48.785
185,42,1,0.0001,99.855,63.155
186,42,1,0.0001,99.835,65.875
189,42,2,0.0002,99.75,73.13
191,42,1,0.0001,99.625,77.675
192,42,2,0.0002,99.58,79.59
193,42,2,0.0002,99.52,81.52
194,42,1,0.0001,99.425,83.255
195,42,2,0.0002,99.38,85.18
196,42,1,0.0001,99.355,86.775
197,42,3,0.0003,99.235,88.365
198,42,3,0.0003,99.175,89.635
199,42,2,0.0002,99.03,90.82
200,42,3,0.0003,98.935,91.705
201,42,3,0.0003,98.815,92.625
202,42,3,0.0003,98.655,93.455
203,42,4,0.0004,98.44,94.19
204,42,4,0.0004,98.24,94.88
205,42,2,0.0002,98.09,95.35
206,42,4,0.0004,97.93,95.89
207,42,2,0.0002,97.79,96.35
208,42,2,0.0002,97.56,96.8
209,42,2,0.0002,97.27,97.11
210,42,3,0.0003,96.905,97.485
211,42,2,0.0002,96.58,97.77
212,42,1,0.0001,96.195,98.025
215,42,3,0.0003,95.215,98.705
217,42,2,0.0002,94.38,99.02
218,42,2,0.0002,93.89,99.08
219,42,1,0.0001,93.355,99.195
222,42,1,0.0001,91.575,99.475
230,42,1,0.0001,86.405,99.805
236,42,1,0.0001,80.795,99.895
243,42,1,0.0001,73.445,99.945
170,43,1,0.0001,99.955,9.785
174,43,1,0.0001,99.925,15.785
180,43,2,0.0002,99.82,30.13
182,43,1,0.0001,99.795,36.285
183,43,1,0.0001,99.735,39.385
184,43,3,0.0003,99.695,42.705
185,43,1,0.0001,99.615,45.795
186,43,3,0.0003,99.555,48.765
187,43,4,0.0004,99.49,51.74
190,43,4,0.0004,99.33,60.31
191,43,3,0.0003,99.205,63.135
192,43,6,0.0006,99.13,65.84
193,43,4,0.0004,99,68.5
194,43,6,0.0006,98.89,70.89
195,43,8,0.0008,98.76,73.08
196,43,8,0.0008,98.6,75.31
197,43,8,0.0008,98.38,77.63
198,43,2,0.0002,98.21,79.57
199,43,6,0.0006,98.05,81.48
200,43,5,0.0005,97.885,83.225
201,43,10,0.001,97.73,85.12
202,43,11,0.0011,97.495,86.715
203,43,12,0.0012,97.2,88.29
204,43,8,0.0008,96.85,89.58
205,43,10,0.001,96.52,90.76
206,43,4,0.0004,96.17,91.67
207,43,5,0.0005,95.835,92.585
208,43,4,0.0004,95.47,93.42
209,43,1,0.0001,95.195,94.165
210,43,2,0.0002,94.78,94.85
211,43,2,0.0002,94.36,95.33
212,43,7,0.0007,93.845,95.835
213,43,2,0.0002,93.34,96.33
214,43,3,0.0003,92.665,96.775
215,43,2,0.0002,92.13,97.09
216,43,2,0.0002,91.56,97.46
217,43,3,0.0003,90.985,97.745
218,43,2,0.0002,90.47,98.01
219,43,4,0.0004,89.83,98.29
220,43,3,0.0003,89.135,98.475
221,43,1,0.0001,88.515,98.685
223,43,5,0.0005,87.175,98.985
224,43,1,0.0001,86.395,99.065
226,43,1,0.0001,84.675,99.265
228,43,1,0.0001,82.745,99.465
231,43,1,0.0001,79.705,99.575
232,43,1,0.0001,78.765,99.655
234,43,1,0.0001,76.605,99.715
237,43,1,0.0001,73.435,99.835
240,43,1,0.0001,69.995,99.865
178,44,2,0.0002,99.67,12.45
179,44,2,0.0002,99.6,14.23
182,44,1,0.0001,99.415,19.945
183,44,1,0.0001,99.365,22.225
184,44,2,0.0002,99.3,24.99
186,44,3,0.0003,99.085,30.105
187,44,1,0.0001,98.975,33.185
188,44,2,0.0002,98.85,36.27
189,44,5,0.0005,98.695,39.355
190,44,7,0.0007,98.525,42.655
191,44,6,0.0006,98.31,45.76
192,44,8,0.0008,98.16,48.71
193,44,6,0.0006,97.99,51.69
194,44,5,0.0005,97.835,54.565
195,44,10,0.001,97.63,57.3
196,44,11,0.0011,97.385,60.235
197,44,12,0.0012,97.08,63.06
198,44,10,0.001,96.76,65.76
199,44,18,0.0018,96.38,68.39
200,44,16,0.0016,96.07,70.78
201,44,11,0.0011,95.755,72.985
202,44,13,0.0013,95.385,75.205
203,44,16,0.0016,95.11,77.51
204,44,18,0.0018,94.68,79.47
205,44,20,0.002,94.25,81.35
206,44,14,0.0014,93.74,83.13
207,44,23,0.0023,93.215,84.955
208,44,9,0.0009,92.605,86.615
209,44,13,0.0013,92.055,88.165
210,44,8,0.0008,91.51,89.5
211,44,11,0.0011,90.915,90.655
212,44,13,0.0013,90.395,91.585
213,44,5,0.0005,89.785,92.535
214,44,4,0.0004,89.1,93.38
215,44,4,0.0004,88.49,94.14
216,44,4,0.0004,87.83,94.82
217,44,2,0.0002,87.14,95.31
218,44,7,0.0007,86.355,95.765
219,44,2,0.0002,85.49,96.31
220,44,4,0.0004,84.65,96.74
221,44,1,0.0001,83.795,97.075
222,44,2,0.0002,82.73,97.44
223,44,2,0.0002,81.78,97.72
225,44,1,0.0001,79.695,98.265
226,44,1,0.0001,78.755,98.455
227,44,3,0.0003,77.695,98.665
228,44,1,0.0001,76.595,98.855
230,44,1,0.0001,74.535,99.055
231,44,1,0.0001,73.425,99.185
232,44,1,0.0001,72.365,99.255
233,44,3,0.0003,71.105,99.335
235,44,1,0.0001,68.915,99.535
236,44,1,0.0001,67.575,99.565
243,44,1,0.0001,59.405,99.825
248,44,1,0.0001,53.125,99.885
181,45,1,0.0001,98.965,8.635
184,45,3,0.0003,98.475,12.425
185,45,2,0.0002,98.27,14.21
186,45,2,0.0002,98.11,15.77
187,45,1,0.0001,97.955,17.815
188,45,1,0.0001,97.805,19.935
189,45,1,0.0001,97.575,22.215
190,45,4,0.0004,97.31,24.96
191,45,8,0.0008,96.98,27.76
192,45,11,0.0011,96.655,30.035
193,45,8,0.0008,96.25,33.14
194,45,11,0.0011,95.935,36.205
195,45,19,0.0019,95.605,39.235
196,45,8,0.0008,95.28,42.58
197,45,19,0.0019,94.935,45.635
198,45,16,0.0016,94.51,48.59
199,45,20,0.002,94.05,51.56
200,45,21,0.0021,93.565,54.435
201,45,29,0.0029,92.955,57.105
202,45,27,0.0027,92.425,60.045
203,45,22,0.0022,91.88,62.89
204,45,31,0.0031,91.315,65.555
205,45,26,0.0026,90.73,68.17
206,45,19,0.0019,90.235,70.605
207,45,22,0.0022,89.65,72.82
208,45,26,0.0026,88.95,75.01
209,45,25,0.0025,88.345,77.305
210,45,23,0.0023,87.695,79.265
211,45,24,0.0024,87.01,81.13
212,45,20,0.002,86.22,82.96
213,45,17,0.0017,85.395,84.755
214,45,18,0.0018,84.54,86.48
215,45,17,0.0017,83.705,88.015
216,45,15,0.0015,82.645,89.385
217,45,12,0.0012,81.71,90.54
218,45,9,0.0009,80.745,91.475
219,45,12,0.0012,79.63,92.45
220,45,3,0.0003,78.735,93.345
221,45,10,0.001,77.63,94.07
222,45,11,0.0011,76.535,94.745
223,45,4,0.0004,75.58,95.28
224,45,3,0.0003,74.515,95.715
225,45,4,0.0004,73.4,96.28
226,45,2,0.0002,72.35,96.71
227,45,3,0.0003,71.075,97.055
228,45,4,0.0004,69.97,97.41
229,45,2,0.0002,68.9,97.7
230,45,3,0.0003,67.555,97.985
231,45,1,0.0001,66.515,98.255
233,45,2,0.0002,64.17,98.64
234,45,2,0.0002,63.05,98.84
237,45,1,0.0001,59.395,99.175
240,45,1,0.0001,55.665,99.455
