sim_id,democratic_house_seats,democratic_aligned_senate_seats,six_state_combo,democratic_wins_among_six,overall_dem_score,overall_dem_to_gop_percentile,house_vs_senate_tilt_score,house_vs_senate_tilt_percentile,six_state_geography_continuous_score,six_state_geography_combo_score
1,211,53,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,6,0.5373,31.925,-1.493247,0.575,-0.001722,0
2,222,52,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,5,0.741623,27.165,-0.798263,6.915,-0.04689,-1
3,226,48,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,2,-0.076186,50.475,0.346567,74.275,-0.023251,-0.081245
4,224,50,IA-D_TX-R_OH-D_AK-R_ME-D_MI-D,4,0.332719,38.44,-0.225848,34.3,-0.053613,-0.896572
5,209,44,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,0,-1.752425,92.055,0.632967,88.165,-0.035153,0
6,217,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-D,1,-0.934744,75.46,0.469328,80.91,-0.025343,-0.212543
7,244,53,IA-D_TX-R_OH-D_AK-D_ME-D_MI-D,5,1.88626,8.085,-0.144286,39.615,0.007596,0.103428
8,208,49,IA-R_TX-R_OH-R_AK-R_ME-D_MI-D,2,-0.566653,64.32,-0.63456,12,-0.031172,-0.181258
9,245,47,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,2,0.455159,35.36,1.368571,98.6,-0.013103,-0.081245
10,206,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,0,-1.384398,85.92,0.019674,54.13,-0.041591,0
11,247,53,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,5,2.008893,6.785,-0.021653,48.905,-0.029198,-1
12,209,50,IA-R_TX-D_OH-R_AK-R_ME-D_MI-D,3,-0.280445,55.775,-0.839012,6.355,-0.037237,-0.284686
13,212,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,0,-1.139132,80.48,0.26494,70.29,0.025204,0
14,229,51,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,4,0.782437,26.455,-0.26679,30.855,-0.009195,-0.397216
15,219,46,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,1,-0.852989,73.275,0.551083,84.565,-0.006354,-0.112531
16,213,49,IA-R_TX-R_OH-R_AK-D_ME-D_MI-R,2,-0.362265,58.67,-0.430172,21.32,0.059238,1.031285
17,217,49,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,2,-0.198754,53.64,-0.266662,31.76,-0.055806,-0.081245
18,220,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,0,-0.812111,72.25,0.591961,86.3,-0.003537,0
19,210,47,IA-D_TX-R_OH-R_AK-R_ME-D_MI-R,2,-0.975557,76,-0.062145,48.01,-0.041242,-0.571498
20,223,51,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,4,0.537171,32.19,-0.512056,16.39,-0.04153,-0.397216
21,210,47,IA-R_TX-D_OH-R_AK-R_ME-R_MI-R,1,-0.975557,76,-0.062145,48.01,0.022424,-0.103428
22,251,52,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,6,1.927074,7.715,0.387187,75.635,0.00005,0
23,201,46,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,1,-1.588786,89.39,-0.184714,38.99,0.008552,0.031285
24,241,52,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,5,1.518298,12.95,-0.021589,49.04,-0.044131,-1
25,201,45,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,0,-1.834115,92.955,0.060616,57.105,-0.009175,0
26,243,54,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,5,2.090713,5.97,-0.430493,20.04,-0.054808,-1
27,198,47,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,0,-1.466088,87.265,-0.552676,15.695,-0.006507,0
28,200,47,IA-R_TX-D_OH-R_AK-R_ME-R_MI-R,1,-1.384333,85.62,-0.470921,19.74,-0.036577,-0.103428
29,257,54,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,6,2.662999,2.59,0.141793,60.36,-0.020102,0
30,238,50,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,3,0.905005,24.24,0.346438,73.71,-0.005036,-0.293788
31,229,50,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,3,0.537107,32.555,-0.02146,49.705,0.009753,-0.293788
32,209,48,IA-R_TX-R_OH-R_AK-D_ME-R_MI-R,1,-0.771105,70.35,-0.348353,26.87,0.045612,1
33,212,48,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,1,-0.648472,66.935,-0.22572,35.265,-0.012104,-0.112531
