combo_id,bitmask,democratic_winners,republican_winners,democratic_wins_among_six,simulation_count,probability,probability_given_six_win_count,geography_path_score,mean_democratic_aligned_senate_seats,monte_carlo_standard_error
IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,000000,,IA TX OH AK ME MI,0,1443,0.1443,1,0,44.93,0.003514
IA-D_TX-R_OH-R_AK-R_ME-R_MI-R,000001,IA,TX OH AK ME MI,1,118,0.0118,0.062467,-0.602784,46.653,0.00108
IA-R_TX-D_OH-R_AK-R_ME-R_MI-R,000010,TX,IA OH AK ME MI,1,103,0.0103,0.054526,-0.103428,46.786,0.00101
IA-D_TX-D_OH-R_AK-R_ME-R_MI-R,000011,IA TX,OH AK ME MI,2,31,0.0031,0.016029,-0.706212,48.258,0.000556
IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,000100,OH,IA TX AK ME MI,1,409,0.0409,0.216517,-0.112531,46.746,0.001981
IA-D_TX-R_OH-D_AK-R_ME-R_MI-R,000101,IA OH,TX AK ME MI,2,83,0.0083,0.042916,-0.715314,48.229,0.000907
IA-R_TX-D_OH-D_AK-R_ME-R_MI-R,000110,TX OH,IA AK ME MI,2,85,0.0085,0.04395,-0.215958,48.329,0.000918
IA-D_TX-D_OH-D_AK-R_ME-R_MI-R,000111,IA TX OH,AK ME MI,3,25,0.0025,0.01431,-0.818742,49.44,0.000499
IA-R_TX-R_OH-R_AK-D_ME-R_MI-R,001000,AK,IA TX OH ME MI,1,79,0.0079,0.041821,1,46.582,0.000885
IA-D_TX-R_OH-R_AK-D_ME-R_MI-R,001001,IA AK,TX OH ME MI,2,7,0.0007,0.003619,0.397216,48.143,0.000264
IA-R_TX-D_OH-R_AK-D_ME-R_MI-R,001010,TX AK,IA OH ME MI,2,11,0.0011,0.005688,0.896572,48.091,0.000331
IA-D_TX-D_OH-R_AK-D_ME-R_MI-R,001011,IA TX AK,OH ME MI,3,8,0.0008,0.004579,0.293788,49.75,0.000283
IA-R_TX-R_OH-D_AK-D_ME-R_MI-R,001100,OH AK,IA TX ME MI,2,37,0.0037,0.019131,0.887469,48.135,0.000607
IA-D_TX-R_OH-D_AK-D_ME-R_MI-R,001101,IA OH AK,TX ME MI,3,12,0.0012,0.006869,0.284686,50.333,0.000346
IA-R_TX-D_OH-D_AK-D_ME-R_MI-R,001110,TX OH AK,IA ME MI,3,7,0.0007,0.004007,0.784042,49.429,0.000264
IA-D_TX-D_OH-D_AK-D_ME-R_MI-R,001111,IA TX OH AK,ME MI,4,10,0.001,0.006707,0.181258,51.3,0.000316
IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,010000,ME,IA TX OH AK MI,1,826,0.0826,0.437268,0.031285,46.651,0.002753
IA-D_TX-R_OH-R_AK-R_ME-D_MI-R,010001,IA ME,TX OH AK MI,2,148,0.0148,0.076525,-0.571498,48.209,0.001208
IA-R_TX-D_OH-R_AK-R_ME-D_MI-R,010010,TX ME,IA OH AK MI,2,157,0.0157,0.081179,-0.072143,48.369,0.001243
IA-D_TX-D_OH-R_AK-R_ME-D_MI-R,010011,IA TX ME,OH AK MI,3,44,0.0044,0.025186,-0.674926,49.75,0.000662
IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,010100,OH ME,IA TX AK MI,2,464,0.0464,0.239917,-0.081245,48.28,0.002103
IA-D_TX-R_OH-D_AK-R_ME-D_MI-R,010101,IA OH ME,TX AK MI,3,152,0.0152,0.087006,-0.684029,49.691,0.001223
IA-R_TX-D_OH-D_AK-R_ME-D_MI-R,010110,TX OH ME,IA AK MI,3,180,0.018,0.103034,-0.184673,49.644,0.00133
IA-D_TX-D_OH-D_AK-R_ME-D_MI-R,010111,IA TX OH ME,AK MI,4,121,0.0121,0.081154,-0.787457,50.992,0.001093
IA-R_TX-R_OH-R_AK-D_ME-D_MI-R,011000,AK ME,IA TX OH MI,2,88,0.0088,0.045502,1.031285,48.364,0.000934
IA-D_TX-R_OH-R_AK-D_ME-D_MI-R,011001,IA AK ME,TX OH MI,3,15,0.0015,0.008586,0.428502,49.6,0.000387
IA-R_TX-D_OH-R_AK-D_ME-D_MI-R,011010,TX AK ME,IA OH MI,3,31,0.0031,0.017745,0.927857,49.323,0.000556
IA-D_TX-D_OH-R_AK-D_ME-D_MI-R,011011,IA TX AK ME,OH MI,4,21,0.0021,0.014085,0.325074,51.333,0.000458
IA-R_TX-R_OH-D_AK-D_ME-D_MI-R,011100,OH AK ME,IA TX MI,3,80,0.008,0.045793,0.918755,49.737,0.000891
IA-D_TX-R_OH-D_AK-D_ME-D_MI-R,011101,IA OH AK ME,TX MI,4,52,0.0052,0.034876,0.315971,51.038,0.000719
IA-R_TX-D_OH-D_AK-D_ME-D_MI-R,011110,TX OH AK ME,IA MI,4,69,0.0069,0.046278,0.815327,50.957,0.000828
IA-D_TX-D_OH-D_AK-D_ME-D_MI-R,011111,IA TX OH AK ME,MI,5,75,0.0075,0.074111,0.212543,52.32,0.000863
IA-R_TX-R_OH-R_AK-R_ME-R_MI-D,100000,MI,IA TX OH AK ME,1,354,0.0354,0.187401,-0.212543,46.768,0.001848
IA-D_TX-R_OH-R_AK-R_ME-R_MI-D,100001,IA MI,TX OH AK ME,2,68,0.0068,0.03516,-0.815327,48.191,0.000822
IA-R_TX-D_OH-R_AK-R_ME-R_MI-D,100010,TX MI,IA OH AK ME,2,50,0.005,0.025853,-0.315971,48.18,0.000705
IA-D_TX-D_OH-R_AK-R_ME-R_MI-D,100011,IA TX MI,OH AK ME,3,26,0.0026,0.014883,-0.918755,50.154,0.000509
IA-R_TX-R_OH-D_AK-R_ME-R_MI-D,100100,OH MI,IA TX AK ME,2,234,0.0234,0.120993,-0.325074,48.342,0.001512
IA-D_TX-R_OH-D_AK-R_ME-R_MI-D,100101,IA OH MI,TX AK ME,3,81,0.0081,0.046365,-0.927857,49.728,0.000896
IA-R_TX-D_OH-D_AK-R_ME-R_MI-D,100110,TX OH MI,IA AK ME,3,94,0.0094,0.053807,-0.428502,49.713,0.000965
IA-D_TX-D_OH-D_AK-R_ME-R_MI-D,100111,IA TX OH MI,AK ME,4,68,0.0068,0.045607,-1.031285,50.971,0.000822
IA-R_TX-R_OH-R_AK-D_ME-R_MI-D,101000,AK MI,IA TX OH ME,2,40,0.004,0.020683,0.787457,48.3,0.000631
IA-D_TX-R_OH-R_AK-D_ME-R_MI-D,101001,IA AK MI,TX OH ME,3,6,0.0006,0.003434,0.184673,50.5,0.000245
IA-R_TX-D_OH-R_AK-D_ME-R_MI-D,101010,TX AK MI,IA OH ME,3,15,0.0015,0.008586,0.684029,49.6,0.000387
IA-D_TX-D_OH-R_AK-D_ME-R_MI-D,101011,IA TX AK MI,OH ME,4,9,0.0009,0.006036,0.081245,51.333,0.0003
IA-R_TX-R_OH-D_AK-D_ME-R_MI-D,101100,OH AK MI,IA TX ME,3,40,0.004,0.022896,0.674926,49.375,0.000631
