democratic_house_seats,democratic_aligned_senate_seats,open_simulation_count,calibrated_probability,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile
229,37,1,0.00006094,99.805,99.992
205,38,1,0.00001827,99.984,99.861
214,38,1,0.00004823,99.937,99.928
201,39,1,0.00001827,99.981,99.449
203,39,1,0.00001827,99.974,99.583
207,39,1,0.00001827,99.952,99.783
180,40,1,0.00001827,99.999,81.774
189,40,1,0.00001827,99.99,93.768
194,40,1,0.00001827,99.983,96.743
200,40,1,0.00001827,99.963,98.455
203,40,1,0.00001827,99.923,98.932
206,40,1,0.00001827,99.89,99.368
207,40,1,0.00001827,99.881,99.513
209,40,2,0.00003653,99.853,99.586
213,40,1,0.00001704,99.76,99.785
226,40,1,0.00002153,99.149,99.931
175,41,1,0.00001827,99.997,55.113
179,41,1,0.00001827,99.995,66.517
190,41,1,0.00001827,99.979,88.439
191,41,1,0.00001827,99.975,89.74
192,41,1,0.00001827,99.966,91.06
195,41,2,0.00003653,99.954,93.867
196,41,1,0.00001827,99.941,94.525
197,41,2,0.00003653,99.926,95.251
199,41,1,0.00001827,99.901,96.355
200,41,3,0.0000548,99.894,96.823
201,41,1,0.00001827,99.883,97.217
203,41,2,0.00002635,99.856,97.753
205,41,2,0.00003653,99.814,98.301
206,41,1,0.00000809,99.788,98.494
215,41,1,0.00004823,99.458,99.591
216,41,2,0.00006528,99.388,99.651
217,41,1,0.00004823,99.31,99.739
219,41,1,0.00002153,99.193,99.787
222,41,1,0.00006094,98.992,99.837
224,41,1,0.00006094,98.779,99.877
237,41,1,0.00007125,96.834,99.937
258,41,1,0.00004756,86.32,99.998
176,42,1,0.00001827,99.992,38.523
180,42,1,0.00001827,99.986,52.12
185,42,1,0.00001827,99.977,66.864
186,42,1,0.00001827,99.968,69.414
189,42,2,0.00003653,99.958,76.867
191,42,1,0.00001827,99.929,80.581
192,42,2,0.00003653,99.915,82.426
193,42,2,0.00003653,99.904,84.129
194,42,1,0.00001827,99.897,85.646
195,42,2,0.00003653,99.886,87.232
196,42,1,0.00001827,99.868,88.682
197,42,3,0.00004462,99.86,89.981
198,42,3,0.00004298,99.833,91.292
199,42,2,0.00003653,99.818,92.31
200,42,3,0.00003117,99.79,93.141
201,42,3,0.0000548,99.763,93.939
202,42,3,0.00004298,99.725,94.625
203,42,4,0.00007306,99.69,95.408
204,42,4,0.00006824,99.662,95.893
205,42,2,0.00003653,99.634,96.461
206,42,4,0.00006125,99.611,96.939
207,42,2,0.00003171,99.571,97.271
208,42,2,0.00002473,99.522,97.556
209,42,2,0.00003653,99.463,97.799
210,42,3,0.0001447,99.399,98.159
211,42,2,0.00009647,99.318,98.352
212,42,1,0.00002135,99.254,98.513
215,42,3,0.0001447,99.074,99.079
217,42,2,0.00009647,98.902,99.278
218,42,2,0.00012188,98.788,99.408
219,42,1,0.00002153,98.646,99.516
222,42,1,0.00002698,98.341,99.662
230,42,1,0.00002518,97.042,99.882
236,42,1,0.00007125,95.424,99.916
243,42,1,0.00002197,92.584,99.942
170,43,1,0.00001827,99.994,10.372
174,43,1,0.00001827,99.988,17.361
180,43,2,0.00003653,99.971,33.762
182,43,1,0.00001827,99.964,39.069
183,43,1,0.00001827,99.961,42.677
184,43,3,0.0000548,99.944,46.076
185,43,1,0.00001827,99.93,49.29
186,43,3,0.0000548,99.919,52.56
187,43,4,0.00007306,99.909,55.961
190,43,4,0.00007306,99.873,64.401
191,43,3,0.0000548,99.865,67.227
192,43,6,0.00010959,99.84,69.803
193,43,4,0.00007306,99.823,72.426
194,43,6,0.0001096,99.797,74.991
195,43,8,0.00012413,99.772,77.165
196,43,8,0.00014612,99.734,78.957
197,43,8,0.00014612,99.701,80.887
198,43,2,0.00002472,99.667,82.69
199,43,6,0.00009778,99.641,84.308
200,43,5,0.00009133,99.618,85.909
201,43,10,0.00017247,99.581,87.521
202,43,11,0.00020012,99.533,88.883
203,43,12,0.00021918,99.475,90.19
204,43,8,0.00014531,99.413,91.568
205,43,10,0.00015852,99.33,92.479
206,43,4,0.00006125,99.258,93.324
207,43,5,0.00009134,99.199,94.029
208,43,4,0.00006125,99.153,94.679
209,43,1,0.00001827,99.082,95.445
210,43,2,0.00006527,98.998,95.962
211,43,2,0.00006527,98.91,96.534
212,43,7,0.00027955,98.808,96.982
213,43,2,0.00009647,98.652,97.295
214,43,3,0.00014472,98.561,97.628
215,43,2,0.00005577,98.465,97.817
216,43,2,0.00015672,98.351,98.191
217,43,3,0.00013481,98.226,98.38
