sim_id,weight,democratic_house_seats,democratic_aligned_senate_seats,six_state_combo,overall_dem_to_gop_percentile,house_vs_senate_tilt_percentile,conventionality_score
1,0.00002775472,211,53,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,62.109,0.478,0
2,0.00009301739,222,52,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,54.775,9.599,0.466215
3,0.000024077467,226,48,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,77.711,80.456,0.609598
4,0.000033710873,224,50,IA-D_TX-R_OH-D_AK-R_ME-D_MI-D,68.187,42.935,0.425133
5,0.00001826505,209,44,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,98.479,90.432,0
6,0.000048258737,217,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-D,93.56,85.016,0.815535
7,0.000200618551,244,53,IA-D_TX-R_OH-D_AK-D_ME-D_MI-D,17.48,51.202,-0.041082
8,0.000023689266,208,49,IA-R_TX-R_OH-R_AK-R_ME-D_MI-D,88.996,15.343,1.375402
9,0.000017690919,245,47,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,63.343,99.195,0.609598
10,0.00001826505,206,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,97.194,60.509,0
11,0.00011957941,247,53,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,14.15,60.645,0.466215
12,0.000041567534,209,50,IA-R_TX-D_OH-R_AK-R_ME-D_MI-D,83.477,8.063,1.416484
13,0.000048232545,212,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,95.555,76.011,0
14,0.000105033079,229,51,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,53.228,39.848,1.466215
15,0.000026976494,219,46,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,92.688,88.133,0.049731
16,0.000140633344,213,49,IA-R_TX-R_OH-R_AK-D_ME-D_MI-R,85.003,27.287,0.093653
17,0.000027676019,217,49,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,81.262,38.796,0.609598
18,0.000060942045,220,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,92.142,89.401,0
19,0.000022815717,210,47,IA-D_TX-R_OH-R_AK-R_ME-D_MI-R,94.226,54.814,-0.440132
20,0.000105033079,223,51,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,61.892,22.827,1.466215
21,0.000117640109,210,47,IA-R_TX-D_OH-R_AK-R_ME-R_MI-R,94.226,54.814,0.041082
22,0.000121798606,251,52,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,16.069,83.355,0
23,0.000006451318,201,46,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,98.034,44.438,0.559868
24,0.000094934628,241,52,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,27.973,60.339,0.466215
25,0.00001826505,201,45,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,98.725,63.041,0
26,0.000167865514,243,54,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,13.226,29.717,0.466215
27,0.000033227497,198,47,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,97.646,18.938,0
28,0.00004454881,200,47,IA-R_TX-D_OH-R_AK-R_ME-R_MI-R,97.251,23.696,0.041082
29,0.000215366996,257,54,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,6.136,71.709,0
30,0.000053537139,238,50,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,48.413,81.042,1.425133
31,0.000045791031,229,50,IA-R_TX-R_OH-D_AK-R_ME-D_MI-D,61.4,59.131,1.425133
32,0.000103817773,209,48,IA-R_TX-R_OH-R_AK-D_ME-R_MI-R,91.98,33.258,-0.466215
33,0.000053951849,212,48,IA-R_TX-R_OH-D_AK-R_ME-R_MI-R,90.03,42.043,0.049731
34,0.000076155542,229,50,IA-D_TX-R_OH-R_AK-R_ME-D_MI-D,61.4,59.131,0.375402
35,0.000017036006,210,46,IA-R_TX-R_OH-R_AK-R_ME-D_MI-R,96.192,71.198,0.559868
36,0.000091961992,232,49,IA-R_TX-R_OH-D_AK-D_ME-D_MI-R,65.158,80.731,0.143383
37,0.00001826505,201,46,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,98.034,44.438,0
38,0.000200618551,249,53,IA-D_TX-R_OH-D_AK-D_ME-D_MI-D,12.996,65.915,-0.041082
39,0.000053687153,223,48,IA-D_TX-D_OH-R_AK-R_ME-D_MI-R,80.799,74.524,-0.39905
40,0.000054422449,220,48,IA-R_TX-R_OH-R_AK-R_ME-D_MI-D,83.797,66.676,1.375402
41,0.00013801818,224,50,IA-R_TX-D_OH-D_AK-D_ME-D_MI-R,68.187,42.935,0.184465
42,0.000028625109,216,46,IA-R_TX-D_OH-D_AK-R_ME-R_MI-R,94.042,83.447,0.090813
43,0.000045766178,222,50,IA-R_TX-R_OH-D_AK-R_ME-D_MI-R,70.439,36.587,0.609598
44,0.000122800699,233,51,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,47.226,53.5,1.466215
45,0.00002448834,207,46,IA-R_TX-D_OH-R_AK-R_ME-R_MI-R,96.953,63.371,0.041082
46,0.0000877439,212,47,IA-R_TX-R_OH-R_AK-R_ME-R_MI-R,93.279,60.873,0
47,0.000105033079,222,51,IA-R_TX-D_OH-D_AK-R_ME-D_MI-D,63.012,20.367,1.466215
