democratic_aligned_senate_seats,combo_id,democratic_winners,republican_winners,democratic_wins_among_six,open_simulation_count,calibrated_joint_probability,calibrated_probability_given_senate_total,calibrated_probability_senate_total_given_combo,conventionality_score,conventionality_percentile_given_senate_total,route_surprisal_nats,rarity_percentile_given_senate_total
37,IA-D_TX-D_OH-D_AK-D_ME-D_MI-D,IA TX OH AK ME MI,,6,0,0,0,0,0,,,
37,IA-D_TX-D_OH-D_AK-D_ME-D_MI-R,IA TX OH AK ME,MI,5,0,0,0,0,-0.815535,,,
37,IA-D_TX-D_OH-D_AK-D_ME-R_MI-D,IA TX OH AK MI,ME,5,0,0,0,0,-0.559868,,,
37,IA-D_TX-D_OH-D_AK-D_ME-R_MI-R,IA TX OH AK,ME MI,4,0,0,0,0,-1.375402,,,
37,IA-D_TX-D_OH-D_AK-R_ME-D_MI-D,IA TX OH ME MI,AK,5,0,0,0,0,0.466215,,,
37,IA-D_TX-D_OH-D_AK-R_ME-D_MI-R,IA TX OH ME,AK MI,4,0,0,0,0,-0.34932,,,
37,IA-D_TX-D_OH-D_AK-R_ME-R_MI-D,IA TX OH MI,AK ME,4,0,0,0,0,-0.093653,,,
37,IA-D_TX-D_OH-D_AK-R_ME-R_MI-R,IA TX OH,AK ME MI,3,0,0,0,0,-0.909187,,,
37,IA-D_TX-D_OH-R_AK-D_ME-D_MI-D,IA TX AK ME MI,OH,5,0,0,0,0,-0.049731,,,
37,IA-D_TX-D_OH-R_AK-D_ME-D_MI-R,IA TX AK ME,OH MI,4,0,0,0,0,-0.865265,,,
37,IA-D_TX-D_OH-R_AK-D_ME-R_MI-D,IA TX AK MI,OH ME,4,0,0,0,0,-0.609598,,,
37,IA-D_TX-D_OH-R_AK-D_ME-R_MI-R,IA TX AK,OH ME MI,3,0,0,0,0,-1.425133,,,
37,IA-D_TX-D_OH-R_AK-R_ME-D_MI-D,IA TX ME MI,OH AK,4,0,0,0,0,0.416484,,,
37,IA-D_TX-D_OH-R_AK-R_ME-D_MI-R,IA TX ME,OH AK MI,3,0,0,0,0,-0.39905,,,
37,IA-D_TX-D_OH-R_AK-R_ME-R_MI-D,IA TX MI,OH AK ME,3,0,0,0,0,-0.143383,,,
37,IA-D_TX-D_OH-R_AK-R_ME-R_MI-R,IA TX,OH AK ME MI,2,0,0,0,0,-0.958918,,,
37,IA-D_TX-R_OH-D_AK-D_ME-D_MI-D,IA OH AK ME MI,TX,5,0,0,0,0,-0.041082,,,
37,IA-D_TX-R_OH-D_AK-D_ME-D_MI-R,IA OH AK ME,TX MI,4,0,0,0,0,-0.856617,,,
37,IA-D_TX-R_OH-D_AK-D_ME-R_MI-D,IA OH AK MI,TX ME,4,0,0,0,0,-0.60095,,,
37,IA-D_TX-R_OH-D_AK-D_ME-R_MI-R,IA OH AK,TX ME MI,3,0,0,0,0,-1.416484,,,
37,IA-D_TX-R_OH-D_AK-R_ME-D_MI-D,IA OH ME MI,TX AK,4,0,0,0,0,0.425133,,,
37,IA-D_TX-R_OH-D_AK-R_ME-D_MI-R,IA OH ME,TX AK MI,3,0,0,0,0,-0.390402,,,
37,IA-D_TX-R_OH-D_AK-R_ME-R_MI-D,IA OH MI,TX AK ME,3,0,0,0,0,-0.134735,,,
37,IA-D_TX-R_OH-D_AK-R_ME-R_MI-R,IA OH,TX AK ME MI,2,0,0,0,0,-0.950269,,,
37,IA-D_TX-R_OH-R_AK-D_ME-D_MI-D,IA AK ME MI,TX OH,4,0,0,0,0,-0.090813,,,
37,IA-D_TX-R_OH-R_AK-D_ME-D_MI-R,IA AK ME,TX OH MI,3,0,0,0,0,-0.906347,,,
37,IA-D_TX-R_OH-R_AK-D_ME-R_MI-D,IA AK MI,TX OH ME,3,0,0,0,0,-0.65068,,,
37,IA-D_TX-R_OH-R_AK-D_ME-R_MI-R,IA AK,TX OH ME MI,2,0,0,0,0,-1.466215,,,
37,IA-D_TX-R_OH-R_AK-R_ME-D_MI-D,IA ME MI,TX OH AK,3,0,0,0,0,0.375402,,,
37,IA-D_TX-R_OH-R_AK-R_ME-D_MI-R,IA ME,TX OH AK MI,2,0,0,0,0,-0.440132,,,
