model,chamber,seats,prob
classic,House,160,0.0025
classic,House,162,0.0025
classic,House,169,0.0025
classic,House,175,0.0025
classic,House,177,0.0025
classic,House,178,0.0025
classic,House,179,0.0125
classic,House,180,0.005
classic,House,181,0.005
classic,House,182,0.0075
classic,House,183,0.015
classic,House,184,0.0075
classic,House,185,0.0075
classic,House,186,0.0025
classic,House,187,0.0175
classic,House,188,0.0225
classic,House,189,0.0275
classic,House,190,0.025
classic,House,191,0.0325
classic,House,192,0.04
classic,House,193,0.055
classic,House,194,0.07
classic,House,195,0.0825
classic,House,196,0.105
classic,House,197,0.1275
classic,House,198,0.135
classic,House,199,0.175
classic,House,200,0.2275
classic,House,201,0.25
classic,House,202,0.3175
classic,House,203,0.3325
classic,House,204,0.4225
classic,House,205,0.41
classic,House,206,0.5025
classic,House,207,0.635
classic,House,208,0.735
classic,House,209,0.8375
classic,House,210,0.84
classic,House,211,0.98
classic,House,212,1.09
classic,House,213,1.19
classic,House,214,1.2975
classic,House,215,1.4825
classic,House,216,1.6125
classic,House,217,1.6725
classic,House,218,1.7875
classic,House,219,1.83
classic,House,220,1.9
classic,House,221,2.1875
classic,House,222,2.075
classic,House,223,2.34
classic,House,224,2.4175
classic,House,225,2.575
classic,House,226,2.4775
classic,House,227,2.51
classic,House,228,2.575
classic,House,229,2.385
classic,House,230,2.4825
classic,House,231,2.55
classic,House,232,2.4075
classic,House,233,2.4225
classic,House,234,2.6075
classic,House,235,2.455
classic,House,236,2.4
classic,House,237,2.24
classic,House,238,2.2625
classic,House,239,2.155
classic,House,240,2.135
classic,House,241,2.045
classic,House,242,1.985
classic,House,243,1.875
classic,House,244,1.8125
classic,House,245,1.65
classic,House,246,1.535
classic,House,247,1.53
classic,House,248,1.395
classic,House,249,1.3925
classic,House,250,1.215
classic,House,251,1.045
classic,House,252,1.1525
classic,House,253,1.0075
classic,House,254,0.955
classic,House,255,0.8875
classic,House,256,0.7725
classic,House,257,0.7525
classic,House,258,0.705
classic,House,259,0.6775
classic,House,260,0.595
classic,House,261,0.5125
classic,House,262,0.485
classic,House,263,0.5075
classic,House,264,0.4575
classic,House,265,0.365
classic,House,266,0.31
classic,House,267,0.31
classic,House,268,0.2875
classic,House,269,0.245
classic,House,270,0.2025
classic,House,271,0.2325
classic,House,272,0.2175
classic,House,273,0.19
