model,updated_date,chamber,democratic_seats,probability_percent_display
deluxe,2026-08-14,senate,40,<0.01
deluxe,2026-08-14,senate,41,<0.01
deluxe,2026-08-14,senate,42,0.06
deluxe,2026-08-14,senate,43,0.18
deluxe,2026-08-14,senate,44,0.5
deluxe,2026-08-14,senate,45,1.4
deluxe,2026-08-14,senate,46,2.9
deluxe,2026-08-14,senate,47,5.5
deluxe,2026-08-14,senate,48,8.3
deluxe,2026-08-14,senate,49,11.2
deluxe,2026-08-14,senate,50,13.6
deluxe,2026-08-14,senate,51,14.2
deluxe,2026-08-14,senate,52,13.8
deluxe,2026-08-14,senate,53,11.2
deluxe,2026-08-14,senate,54,7.9
deluxe,2026-08-14,senate,55,5
deluxe,2026-08-14,senate,56,2.5
deluxe,2026-08-14,senate,57,1.1
deluxe,2026-08-14,senate,58,0.39
deluxe,2026-08-14,senate,59,0.12
deluxe,2026-08-14,senate,60,0.04
deluxe,2026-08-14,senate,61,0.03
deluxe,2026-08-14,senate,63,<0.01
deluxe,2026-08-14,house,172,<0.01
deluxe,2026-08-14,house,174,<0.01
deluxe,2026-08-14,house,178,<0.01
deluxe,2026-08-14,house,179,<0.01
deluxe,2026-08-14,house,181,0.01
deluxe,2026-08-14,house,183,<0.01
deluxe,2026-08-14,house,184,<0.01
deluxe,2026-08-14,house,185,<0.01
deluxe,2026-08-14,house,186,<0.01
deluxe,2026-08-14,house,187,0.01
deluxe,2026-08-14,house,188,<0.01
deluxe,2026-08-14,house,189,0.01
deluxe,2026-08-14,house,190,0.01
deluxe,2026-08-14,house,191,0.03
deluxe,2026-08-14,house,192,0.02
deluxe,2026-08-14,house,193,0.03
deluxe,2026-08-14,house,194,0.04
deluxe,2026-08-14,house,195,0.03
deluxe,2026-08-14,house,196,0.06
deluxe,2026-08-14,house,197,0.08
deluxe,2026-08-14,house,198,0.09
deluxe,2026-08-14,house,199,0.1
deluxe,2026-08-14,house,200,0.12
deluxe,2026-08-14,house,201,0.19
deluxe,2026-08-14,house,202,0.17
deluxe,2026-08-14,house,203,0.28
deluxe,2026-08-14,house,204,0.34
deluxe,2026-08-14,house,205,0.37
deluxe,2026-08-14,house,206,0.47
deluxe,2026-08-14,house,207,0.5
deluxe,2026-08-14,house,208,0.67
deluxe,2026-08-14,house,209,0.65
deluxe,2026-08-14,house,210,0.77
deluxe,2026-08-14,house,211,0.96
deluxe,2026-08-14,house,212,0.92
deluxe,2026-08-14,house,213,1.1
deluxe,2026-08-14,house,214,1.2
deluxe,2026-08-14,house,215,1.4
deluxe,2026-08-14,house,216,1.5
deluxe,2026-08-14,house,217,1.6
deluxe,2026-08-14,house,218,1.7
deluxe,2026-08-14,house,219,1.9
deluxe,2026-08-14,house,220,1.9
deluxe,2026-08-14,house,221,2.2
deluxe,2026-08-14,house,222,2.2
deluxe,2026-08-14,house,223,2.3
deluxe,2026-08-14,house,224,2.6
deluxe,2026-08-14,house,225,2.5
deluxe,2026-08-14,house,226,2.6
deluxe,2026-08-14,house,227,2.8
deluxe,2026-08-14,house,228,2.8
deluxe,2026-08-14,house,229,2.8
deluxe,2026-08-14,house,230,2.8
deluxe,2026-08-14,house,231,2.9
deluxe,2026-08-14,house,232,2.8
deluxe,2026-08-14,house,233,2.7
deluxe,2026-08-14,house,234,2.8
deluxe,2026-08-14,house,235,2.7
deluxe,2026-08-14,house,236,2.5
deluxe,2026-08-14,house,237,2.5
deluxe,2026-08-14,house,238,2.4
deluxe,2026-08-14,house,239,2.2
deluxe,2026-08-14,house,240,2.3
deluxe,2026-08-14,house,241,2.3
deluxe,2026-08-14,house,242,2.1
deluxe,2026-08-14,house,243,1.9
deluxe,2026-08-14,house,244,1.9
deluxe,2026-08-14,house,245,1.7
deluxe,2026-08-14,house,246,1.6
deluxe,2026-08-14,house,247,1.6
deluxe,2026-08-14,house,248,1.3
deluxe,2026-08-14,house,249,1.4
deluxe,2026-08-14,house,250,1.1
deluxe,2026-08-14,house,251,1.1
deluxe,2026-08-14,house,252,1.1
deluxe,2026-08-14,house,253,1
deluxe,2026-08-14,house,254,0.86
deluxe,2026-08-14,house,255,0.78
deluxe,2026-08-14,house,256,0.78
deluxe,2026-08-14,house,257,0.7
deluxe,2026-08-14,house,258,0.64
deluxe,2026-08-14,house,259,0.51
deluxe,2026-08-14,house,260,0.51
deluxe,2026-08-14,house,261,0.41
deluxe,2026-08-14,house,262,0.43
deluxe,2026-08-14,house,263,0.4
deluxe,2026-08-14,house,264,0.32
deluxe,2026-08-14,house,265,0.27
deluxe,2026-08-14,house,266,0.27
deluxe,2026-08-14,house,267,0.2
deluxe,2026-08-14,house,268,0.25
deluxe,2026-08-14,house,269,0.19
deluxe,2026-08-14,house,270,0.2
deluxe,2026-08-14,house,271,0.15
deluxe,2026-08-14,house,272,0.15
deluxe,2026-08-14,house,273,0.12
deluxe,2026-08-14,house,274,0.14
deluxe,2026-08-14,house,275,0.12
deluxe,2026-08-14,house,276,0.1
deluxe,2026-08-14,house,277,0.09
deluxe,2026-08-14,house,278,0.08
deluxe,2026-08-14,house,279,0.07
deluxe,2026-08-14,house,280,0.06
deluxe,2026-08-14,house,281,0.04
deluxe,2026-08-14,house,282,0.07
deluxe,2026-08-14,house,283,0.04
deluxe,2026-08-14,house,284,0.06
deluxe,2026-08-14,house,285,0.04
deluxe,2026-08-14,house,286,0.04
deluxe,2026-08-14,house,287,0.03
deluxe,2026-08-14,house,288,0.04
deluxe,2026-08-14,house,289,0.03
deluxe,2026-08-14,house,290,0.03
deluxe,2026-08-14,house,291,0.03
deluxe,2026-08-14,house,292,0.02
deluxe,2026-08-14,house,293,0.01
deluxe,2026-08-14,house,294,0.03
deluxe,2026-08-14,house,295,0.01
deluxe,2026-08-14,house,296,<0.01
deluxe,2026-08-14,house,297,0.02
deluxe,2026-08-14,house,298,<0.01
deluxe,2026-08-14,house,299,0.01
deluxe,2026-08-14,house,300,<0.01
deluxe,2026-08-14,house,301,<0.01
deluxe,2026-08-14,house,302,<0.01
deluxe,2026-08-14,house,303,<0.01
deluxe,2026-08-14,house,304,<0.01
deluxe,2026-08-14,house,305,<0.01
deluxe,2026-08-14,house,306,<0.01
deluxe,2026-08-14,house,307,<0.01
deluxe,2026-08-14,house,308,<0.01
deluxe,2026-08-14,house,310,<0.01
deluxe,2026-08-14,house,311,<0.01
deluxe,2026-08-14,house,312,<0.01
deluxe,2026-08-14,house,315,<0.01
deluxe,2026-08-14,house,319,<0.01
deluxe,2026-08-14,house,323,<0.01
deluxe,2026-08-14,house,324,<0.01
deluxe,2026-08-14,house,325,<0.01
deluxe,2026-08-14,house,326,<0.01
deluxe,2026-08-14,house,330,<0.01
deluxe,2026-08-14,house,331,<0.01
deluxe,2026-08-14,house,366,<0.01
